"","x"
"482",8
"483",14
"484",4
"485",3
"486",13
"487",8
"488",16
"489",14
"490",3
"491",1
"492",22
"493",10
"494",21
"495",5
"496",4
"497",13
"498",18
"499",1
"500",2
"501",11
"502",4
"503",3
"504",1
"505",1
"506",22
"507",10
"508",1
"509",3
"510",3
"511",8
"512",18
"513",3
"514",3
"515",22
"516",19
"517",1
"518",1
"519",4
"520",13
"521",13
"522",4
"523",13
"524",1
"525",1
"526",4
"527",3
"528",19
"529",3
"530",22
"531",1
"532",3
"533",4
"534",3
"535",22
"536",13
"537",22
"538",13
"539",20
"540",1
"541",3
"542",3
"543",1
"544",1
"545",1
"546",8
"547",12
"548",8
"549",1
"550",9
"551",1
"552",17
"553",9
"554",3
"555",3
"556",1
"557",8
"558",4
"559",4
"560",1
"561",3
"562",9
"563",8
"564",1
"565",8
"566",1
"567",3
"568",13
"569",4
"570",3
"571",1
"572",1
"573",1
"574",3
"575",17
"576",22
"577",1
"578",4
"579",1
"580",4
"581",3
"582",11
"583",18
"584",13
"585",13
"586",6
"587",3
"588",1
"589",1
"590",3
"591",4
"592",1
"593",13
"594",11
"595",4
"596",22
"597",13
"598",13
"599",1
"600",13
"601",8
"602",10
"603",4
"604",3
"605",13
"606",1
"607",3
"608",4
"609",13
"610",17
"611",9
"612",8
"613",1
"614",4
"615",2
"616",4
"617",17
"618",3
"619",8
"620",1
"621",3
"622",1
"623",4
"624",3
"625",1
"626",8
"627",1
"628",10
"629",13
"630",4
"631",4
"632",8
"633",13
"634",22
"635",9
"636",15
"637",4
"638",22
"639",9
"640",4
"641",9
"642",4
"643",3
"644",6
"645",3
"646",21
"647",8
"648",18
"649",3
"650",4
"651",22
"652",15
"653",8
"654",9
"655",8
"656",8
"657",8
"658",8
"659",22
"660",22
"661",4
"662",3
"663",22
"664",9
"665",8
"666",7
"667",22
"668",15
"669",3
"670",8
"671",2
"672",14
"673",22
"674",22
"675",22
"676",22
"677",4
"678",4
"679",15
"680",3
"681",21
"682",4
"683",4
"684",4
"685",4
"686",18
"687",15
"688",18
"689",4
"690",4
"691",9
"692",8
"693",22
"694",11
"695",11
"696",8
"697",4
"698",8
"699",17
"700",22
"701",18
"702",11
"703",15
"704",15
"705",15
"706",22
"707",14
"708",4
"709",11
"710",4
"711",9
"712",11
"713",8
"714",9
"715",18
"716",11
"717",1
"718",8
"719",22
"720",4
"721",22
"722",15
"723",18
"724",4
"725",18
"726",15
"727",4
"728",1
"729",22
"730",8
"731",4
"732",3
"733",3
"734",3
"735",8
"736",5
"737",3
"738",13
"739",11
"740",15
"741",1
"742",13
"743",15
"744",14
"745",17
"746",12
"747",4
"748",4
"749",18
"750",8
"751",1
"752",3
"753",1
"754",8
"755",13
"756",1
"757",18
"758",3
"759",4
"760",10
"761",4
"762",13
"763",4
"764",3
"765",22
"766",4
"767",8
"768",13
"769",8
"770",14
"771",3
"772",2
"773",3
"774",8
"775",2
"776",4
"777",3
"778",4
"779",13
"780",3
"781",8
"782",4
"783",1
"784",17
"785",1
"786",1
"787",18
"788",4
"789",17
"790",4
"791",3
"792",8
"793",22
"794",3
"795",22
"796",22
"797",9
"798",11
"799",8
"800",4
"801",4
"802",1
"803",22
"804",4
"805",22
"806",13
"807",18
"808",4
"809",3
"810",17
"811",13
"812",15
"813",22
"814",17
"815",1
"816",3
"817",9
"818",1
"819",8
"820",19
"821",22
"822",3
"823",3
"824",11
"825",22
"826",4
"827",1
"828",22
"829",3
"830",3
"831",22
"832",13
"833",9
"834",3
"835",4
"836",1
"837",22
"838",8
"839",3
"840",4
"841",22
"842",1
"843",18
"844",3
"845",4
"846",4
"847",7
"848",22
"849",13
"850",1
"851",1
"852",1
"853",3
"854",15
"855",4
"856",3
"857",22
"858",17
"859",4
"860",15
"861",4
"862",11
"863",8
"864",1
"865",4
"866",3
"867",3
"868",4
"869",3
"870",2
"871",5
"872",3
"873",8
"874",18
"875",18
"876",13
"877",4
"878",1
"879",13
"880",13
"881",2
"882",3
"883",4
"884",4
"885",8
"886",3
"887",13
"888",18
"889",22
"890",8
"891",3
"892",1
"893",8
"894",12
"895",1
"896",4
"897",3
"898",8
"899",9
"900",1
"901",8
"902",19
"903",3
"904",3
"905",22
"906",4
"907",9
"908",13
"909",15
"910",4
"911",18
"912",1
"913",11
"914",4
"915",3
"916",13
"917",3
"918",3
"919",3
"920",13
"921",18
"922",13
"923",3
"924",1
"925",4
"926",3
"927",3
"928",8
"929",3
"930",15
"931",9
"932",4
"933",4
"934",19
"935",22
"936",1
"937",4
"938",1
"939",8
"940",3
"941",13
"942",22
"943",20
"944",13
"945",14
"946",8
"947",8
"948",4
"949",1
"950",3
"951",13
"952",8
"953",9
"954",3
"955",1
"956",4
"957",8
"958",4
"959",17
"960",4
"961",13
"962",3
"963",18
"964",1
"965",13
"966",9
"967",9
"968",11
"969",13
"970",13
"971",3
"972",13
"973",13
"974",8
"975",1
"976",3
"977",5
"978",14
"979",4
"980",13
"981",13
"982",13
"983",13
"984",13
"985",3
"986",8
"987",13
"988",13
"989",3
"990",2
"991",8
"992",13
"993",18
"994",3
"995",22
"996",5
"997",8
"998",13
"999",13
"1000",15
"1001",15
"1002",4
"1003",8
"1004",18
"1005",8
"1006",3
"1007",3
"1008",4
"1009",22
"1010",15
"1011",8
"1012",3
"1013",3
"1014",3
"1015",9
"1016",3
"1017",3
"1018",8
"1019",22
"1020",4
"1021",22
"1022",4
"1023",4
"1024",4
"1025",8
"1026",7
"1027",8
"1028",15
"1029",8
"1030",6
"1031",3
"1032",3
"1033",17
"1034",17
"1035",13
"1036",4
"1037",8
"1038",22
"1039",22
"1040",22
"1041",22
"1042",22
"1043",8
"1044",6
"1045",22
"1046",22
"1047",2
"1048",4
"1049",3
"1050",4
"1051",4
"1052",3
"1053",3
"1054",3
"1055",3
"1056",3
"1057",4
"1058",4
"1059",4
"1060",21
"1061",15
"1062",4
"1063",4
"1064",4
"1065",4
"1066",4
"1067",18
"1068",18
"1069",22
"1070",22
"1071",3
"1072",13
"1073",13
"1074",4
"1075",4
"1076",4
"1077",4
"1078",3
"1079",3
"1080",4
"1081",8
"1082",8
"1083",9
"1084",9
"1085",3
"1086",13
"1087",22
"1088",18
"1089",15
"1090",22
"1091",4
"1092",8
"1093",8
"1094",11
"1095",11
"1096",8
"1097",8
"1098",4
"1099",21
"1100",8
"1101",8
"1102",3
"1103",8
"1104",17
"1105",4
"1106",4
"1107",18
"1108",18
"1109",8
"1110",9
"1111",9
"1112",22
"1113",18
"1114",3
"1115",4
"1116",3
"1117",9
"1118",3
"1119",3
"1120",3
"1121",4
"1122",4
"1123",4
"1124",3
"1125",8
"1126",8
"1127",21
"1128",8
"1129",22
"1130",22
"1131",22
"1132",13
"1133",8
"1134",8
"1135",3
"1136",15
"1137",15
"1138",21
"1139",21
"1140",4
"1141",6
"1142",4
"1143",4
"1144",4
"1145",4
"1146",15
"1147",22
"1148",3
"1149",3
"1150",18
"1151",18
"1152",8
"1153",14
"1154",3
"1155",3
"1156",13
"1157",15
"1158",15
"1159",18
"1160",4
"1161",11
"1162",11
"1163",4
"1164",4
"1165",15
"1166",9
"1167",3
"1168",3
"1169",6
"1170",3
"1171",3
"1172",3
"1173",3
"1174",3
"1175",11
"1176",3
"1177",11
"1178",22
"1179",17
"1180",17
"1181",3
"1182",8
"1183",8
"1184",22
"1185",22
"1186",22
"1187",21
"1188",21
"1189",8
"1190",17
"1191",17
"1192",3
"1193",3
"1194",4
"1195",4
"1196",4
"1197",4
"1198",3
"1199",3
"1200",17
"1201",11
"1202",11
"1203",13
"1204",13
"1205",15
"1206",4
"1207",7
"1208",15
"1209",3
"1210",4
"1211",4
"1212",4
"1213",13
"1214",8
"1215",8
"1216",6
"1217",6
"1218",3
"1219",3
"1220",17
"1221",3
"1222",4
"1223",22
"1224",22
"1225",22
"1226",22
"1227",22
"1228",4
"1229",4
"1230",4
"1231",3
"1232",3
"1233",8
"1234",8
"1235",8
"1236",21
"1237",21
"1238",4
"1239",4
"1240",22
"1241",18
"1242",18
"1243",8
"1244",9
"1245",9
"1246",4
"1247",2
"1248",18
"1249",18
"1250",4
"1251",4
"1252",4
"1253",4
"1254",3
"1255",8
"1256",3
"1257",4
"1258",4
"1259",3
"1260",18
"1261",8
"1262",7
"1263",22
"1264",4
"1265",3
"1266",4
"1267",4
"1268",8
"1269",8
"1270",11
"1271",4
"1272",22
"1273",22
"1274",4
"1275",4
"1276",4
"1277",13
"1278",4
"1279",2
"1280",4
"1281",4
"1282",3
"1283",3
"1284",3
"1285",3
"1286",15
"1287",3
"1288",3
"1289",22
"1290",4
"1291",4
"1292",4
"1293",8
"1294",11
"1295",9
"1296",14
"1297",22
"1298",22
"1299",22
"1300",15
"1301",4
"1302",4
"1303",8
"1304",8
"1305",4
"1306",4
"1307",3
"1308",15
"1309",15
"1310",8
"1311",3
"1312",3
"1313",15
"1314",11
"1315",11
"1316",15
"1317",18
"1318",22
"1319",4
"1320",4
"1321",4
"1322",4
"1323",7
"1324",8
"1325",4
"1326",11
"1327",4
"1328",22
"1329",22
"1330",18
"1331",22
"1332",8
"1333",4
"1334",4
"1335",4
"1336",4
"1337",8
"1338",8
"1339",4
"1340",18
"1341",18
"1342",14
"1343",22
"1344",22
"1345",8
"1346",8
"1347",18
"1348",8
"1349",9
"1350",8
"1351",8
"1352",8
"1353",8
"1354",8
"1355",8
"1356",15
"1357",4
"1358",9
"1359",9
"1360",4
"1361",8
"1362",8
"1363",3
"1364",7
"1365",7
"1366",15
"1367",11
"1368",8
"1369",4
"1370",4
"1371",15
"1372",8
"1373",3
"1374",3
"1375",13
"1376",13
"1377",3
"1378",4
"1379",3
"1380",8
"1381",8
"1382",18
"1383",8
"1384",8
"1385",4
"1386",3
"1387",3
"1388",3
"1389",9
"1390",8
"1391",3
"1392",3
"1393",13
"1394",8
"1395",4
"1396",3
"1397",17
"1398",17
"1399",22
"1400",3
"1401",4
"1402",3
"1403",8
"1404",3
"1405",3
"1406",3
"1407",3
"1408",22
"1409",3
"1410",3
"1411",3
"1412",22
"1413",6
"1414",6
"1415",3
"1416",4
"1417",4
"1418",4
"1419",4
"1420",15
"1421",15
"1422",9
"1423",9
"1424",2
"1425",9
"1426",9
"1427",9
"1428",4
"1429",8
"1430",4
"1431",21
"1432",21
"1433",3
"1434",9
"1435",9
"1436",9
"1437",4
"1438",6
"1439",18
"1440",18
"1441",22
"1442",22
"1443",4
"1444",4
"1445",8
"1446",8
"1447",8
"1448",3
"1449",3
"1450",4
"1451",4
"1452",8
"1453",11
"1454",15
"1455",18
"1456",8
"1457",8
"1458",22
"1459",22
"1460",22
"1461",8
"1462",22
"1463",3
"1464",11
"1465",11
"1466",11
"1467",11
"1468",9
"1469",8
"1470",8
"1471",8
"1472",2
"1473",22
"1474",22
"1475",22
"1476",9
"1477",4
"1478",4
"1479",4
"1480",9
"1481",4
"1482",4
"1483",22
"1484",4
"1485",3
"1486",13
"1487",13
"1488",3
"1489",3
"1490",3
"1491",4
"1492",4
"1493",9
"1494",2
"1495",2
"1496",13
"1497",15
"1498",22
"1499",22
"1500",22
"1501",18
"1502",14
"1503",14
"1504",14
"1505",22
"1506",11
"1507",22
"1508",3
"1509",15
"1510",15
"1511",22
"1512",22
"1513",22
"1514",22
"1515",22
"1516",4
"1517",4
"1518",4
"1519",4
"1520",4
"1521",4
"1522",22
"1523",15
"1524",13
"1525",22
"1526",3
"1527",4
"1528",22
"1529",4
"1530",22
"1531",22
"1532",22
"1533",18
"1534",22
"1535",22
"1536",4
"1537",17
"1538",3
"1539",4
"1540",9
"1541",4
"1542",8
"1543",8
"1544",22
"1545",4
"1546",8
"1547",8
"1548",4
"1549",8
"1550",8
"1551",9
"1552",9
"1553",8
"1554",4
"1555",4
"1556",4
"1557",4
"1558",4
"1559",8
"1560",8
"1561",8
"1562",8
"1563",4
"1564",4
"1565",15
"1566",17
"1567",15
"1568",8
"1569",8
"1570",4
"1571",4
"1572",7
"1573",8
"1574",8
"1575",8
"1576",3
"1577",3
"1578",17
"1579",17
"1580",4
"1581",4
"1582",4
"1583",4
"1584",4
"1585",22
"1586",3
"1587",8
"1588",21
"1589",8
"1590",4
"1591",4
"1592",4
"1593",4
"1594",4
"1595",3
"1596",3
"1597",8
"1598",8
"1599",4
"1600",4
"1601",21
"1602",3
"1603",3
"1604",8
"1605",22
"1606",22
"1607",22
"1608",4
"1609",4
"1610",4
"1611",4
"1612",3
"1613",22
"1614",22
"1615",8
"1616",15
"1617",4
"1618",21
"1619",4
"1620",9
"1621",22
"1622",22
"1623",8
"1624",8
"1625",8
"1626",4
"1627",4
"1628",8
"1629",8
"1630",3
"1631",17
"1632",17
"1633",9
"1634",9
"1635",4
"1636",8
"1637",3
"1638",3
"1639",4
"1640",4
"1641",9
"1642",4
"1643",4
"1644",3
"1645",4
"1646",8
"1647",8
"1648",3
"1649",4
"1650",4
"1651",15
"1652",4
"1653",4
"1654",21
"1655",4
"1656",4
"1657",4
"1658",4
"1659",4
"1660",3
"1661",14
"1662",21
"1663",8
"1664",3
"1665",22
"1666",9
"1667",4
"1668",2
"1669",2
"1670",3
"1671",18
"1672",8
"1673",3
"1674",8
"1675",8
"1676",8
"1677",8
"1678",8
"1679",13
"1680",3
"1681",8
"1682",22
"1683",4
"1684",8
"1685",8
"1686",22
"1687",14
"1688",18
"1689",8
"1690",11
"1691",4
"1692",4
"1693",4
"1694",22
"1695",17
"1696",17
"1697",8
"1698",8
"1699",8
"1700",11
"1701",3
"1702",3
"1703",9
"1704",4
"1705",3
"1706",3
"1707",22
"1708",13
"1709",15
"1710",8
"1711",8
"1712",8
"1713",8
"1714",8
"1715",4
"1716",4
"1717",3
"1718",11
"1719",8
"1720",13
"1721",3
"1722",7
"1723",7
"1724",22
"1725",8
"1726",4
"1727",22
"1728",8
"1729",3
"1730",4
"1731",4
"1732",8
"1733",8
"1734",8
"1735",18
"1736",15
"1737",22
"1738",4
"1739",4
"1740",22
"1741",22
"1742",2
"1743",3
"1744",3
"1745",9
"1746",8
"1747",22
"1748",4
"1749",8
"1750",8
"1751",4
"1752",13
"1753",8
"1754",8
"1755",4
"1756",4
"1757",15
"1758",8
"1759",11
"1760",8
"1761",8
"1762",3
"1763",22
"1764",3
"1765",3
"1766",22
"1767",22
"1768",4
"1769",7
"1770",21
"1771",22
"1772",21
"1773",3
"1774",8
"1775",15
"1776",15
"1777",22
"1778",6
"1779",6
"1780",4
"1781",4
"1782",4
"1783",14
"1784",8
"1785",8
"1786",4
"1787",8
"1788",22
"1789",22
"1790",22
"1791",4
"1792",22
"1793",14
"1794",14
"1795",22
"1796",4
"1797",4
"1798",4
"1799",2
"1800",2
"1801",8
"1802",11
"1803",22
"1804",4
"1805",4
"1806",3
"1807",14
"1808",8
"1809",8
"1810",4
"1811",13
"1812",3
"1813",3
"1814",22
"1815",22
"1816",22
"1817",8
"1818",8
"1819",8
"1820",8
"1821",3
"1822",3
"1823",3
"1824",6
"1825",6
"1826",17
"1827",17
"1828",4
"1829",3
"1830",4
"1831",22
"1832",22
"1833",4
"1834",3
"1835",3
"1836",4
"1837",18
"1838",8
"1839",8
"1840",8
"1841",8
"1842",9
"1843",9
"1844",4
"1845",9
"1846",9
"1847",9
"1848",4
"1849",4
"1850",8
"1851",4
"1852",8
"1853",8
"1854",8
"1855",8
"1856",8
"1857",8
"1858",8
"1859",22
"1860",22
"1861",3
"1862",3
"1863",3
"1864",9
"1865",9
"1866",22
"1867",18
"1868",21
"1869",4
"1870",4
"1871",8
"1872",3
"1873",4
"1874",11
"1875",11
"1876",11
"1877",22
"1878",4
"1879",22
"1880",22
"1881",22
"1882",8
"1883",22
"1884",8
"1885",4
"1886",22
"1887",22
"1888",3
"1889",3
"1890",8
"1891",3
"1892",3
"1893",17
"1894",17
"1895",22
"1896",3
"1897",4
"1898",18
"1899",18
"1900",9
"1901",4
"1902",3
"1903",8
"1904",17
"1905",17
"1906",18
"1907",22
"1908",22
"1909",22
"1910",22
"1911",3
"1912",3
"1913",4
"1914",4
"1915",22
"1916",22
"1917",4
"1918",22
"1919",8
"1920",18
"1921",4
"1922",22
"1923",4
"1924",3
"1925",8
"1926",4
"1927",4
"1928",8
"1929",9
"1930",22
"1931",22
"1932",22
"1933",22
"1934",4
"1935",4
"1936",4
"1937",4
"1938",3
"1939",4
"1940",3
"1941",22
"1942",22
"1943",9
"1944",22
"1945",22
"1946",22
"1947",22
"1948",22
"1949",21
"1950",21
"1951",8
"1952",22
"1953",4
"1954",4
"1955",3
"1956",15
"1957",15
"1958",3
"1959",22
"1960",22
"1961",9
"1962",22
"1963",22
"1964",22
"1965",22
"1966",8
"1967",8
"1968",21
"1969",21
"1970",8
"1971",8
"1972",4
"1973",18
"1974",22
"1975",3
"1976",3
"1977",3
"1978",3
"1979",3
"1980",8
"1981",8
"1982",22
"1983",22
"1984",8
"1985",8
"1986",18
"1987",3
"1988",3
"1989",4
"1990",8
"1991",8
"1992",8
"1993",8
"1994",22
"1995",3
"1996",8
"1997",4
"1998",4
"1999",9
"2000",9
"2001",9
"2002",15
"2003",15
"2004",8
"2005",8
"2006",22
"2007",15
"2008",13
"2009",22
"2010",18
"2011",18
"2012",22
"2013",8
"2014",3
"2015",18
"2016",3
"2017",4
"2018",4
"2019",3
"2020",8
"2021",8
"2022",8
"2023",4
"2024",4
"2025",4
"2026",4
"2027",8
"2028",8
"2029",8
"2030",15
"2031",18
"2032",22
"2033",18
"2034",22
"2035",22
"2036",22
"2037",22
"2038",22
"2039",22
"2040",4
"2041",22
"2042",8
"2043",8
"2044",15
"2045",22
"2046",21
"2047",21
"2048",21
"2049",21
"2050",21
"2051",8
"2052",18
"2053",18
"2054",4
"2055",4
"2056",8
"2057",8
"2058",7
"2059",8
"2060",4
"2061",4
"2062",22
"2063",4
"2064",21
"2065",21
"2066",21
"2067",15
"2068",8
"2069",8
"2070",22
"2071",22
"2072",3
"2073",3
"2074",22
"2075",22
"2076",22
"2077",3
"2078",8
"2079",3
"2080",3
"2081",4
"2082",4
"2083",3
"2084",11
"2085",22
"2086",22
"2087",8
"2088",8
"2089",8
"2090",22
"2091",22
"2092",22
"2093",4
"2094",3
"2095",3
"2096",4
"2097",4
"2098",8
"2099",3
"2100",3
"2101",3
"2102",4
"2103",14
"2104",14
"2105",22
"2106",4
"2107",8
"2108",8
"2109",8
"2110",8
"2111",22
"2112",11
"2113",9
"2114",8
"2115",14
"2116",14
"2117",22
"2118",8
"2119",8
"2120",14
"2121",14
"2122",13
"2123",22
"2124",22
"2125",8
"2126",11
"2127",11
"2128",22
"2129",8
"2130",3
"2131",3
"2132",8
"2133",8
"2134",14
"2135",14
"2136",4
"2137",3
"2138",8
"2139",8
"2140",8
"2141",3
"2142",4
"2143",4
"2144",4
"2145",21
"2146",4
"2147",4
"2148",4
"2149",3
"2150",18
"2151",18
"2152",3
"2153",3
"2154",11
"2155",9
"2156",9
"2157",9
"2158",8
"2159",8
"2160",9
"2161",9
"2162",8
"2163",8
"2164",15
"2165",3
"2166",3
"2167",21
"2168",21
"2169",22
"2170",8
"2171",8
"2172",8
"2173",8
"2174",8
"2175",14
"2176",3
"2177",3
"2178",3
"2179",4
"2180",8
"2181",14
"2182",14
"2183",22
"2184",9
"2185",9
"2186",3
"2187",8
"2188",22
"2189",22
"2190",4
"2191",4
"2192",8
"2193",21
"2194",22
"2195",8
"2196",6
"2197",6
"2198",21
"2199",21
"2200",22
"2201",22
"2202",18
"2203",8
"2204",8
"2205",8
"2206",8
"2207",8
"2208",22
"2209",15
"2210",3
"2211",4
"2212",4
"2213",3
"2214",22
"2215",4
"2216",4
"2217",22
"2218",22
"2219",22
"2220",18
"2221",18
"2222",14
"2223",22
"2224",22
"2225",22
"2226",4
"2227",4
"2228",4
"2229",22
"2230",22
"2231",13
"2232",13
"2233",3
"2234",4
"2235",11
"2236",22
"2237",22
"2238",17
"2239",2
"2240",4
"2241",4
"2242",4
"2243",8
"2244",8
"2245",9
"2246",9
"2247",11
"2248",11
"2249",8
"2250",8
"2251",4
"2252",4
"2253",4
"2254",4
"2255",21
"2256",8
"2257",9
"2258",11
"2259",3
"2260",3
"2261",8
"2262",8
"2263",22
"2264",14
"2265",14
"2266",22
"2267",22
"2268",11
"2269",22
"2270",4
"2271",13
"2272",13
"2273",8
"2274",22
"2275",4
"2276",2
"2277",2
"2278",2
"2279",3
"2280",9
"2281",4
"2282",4
"2283",4
"2284",8
"2285",8
"2286",4
"2287",4
"2288",3
"2289",3
"2290",7
"2291",7
"2292",8
"2293",15
"2294",3
"2295",3
"2296",22
"2297",8
"2298",8
"2299",8
"2300",8
"2301",8
"2302",8
"2303",8
"2304",4
"2305",8
"2306",8
"2307",8
"2308",8
"2309",15
"2310",8
"2311",4
"2312",22
"2313",22
"2314",22
"2315",8
"2316",4
"2317",4
"2318",4
"2319",3
"2320",8
"2321",4
"2322",8
"2323",21
"2324",4
"2325",4
"2326",3
"2327",3
"2328",9
"2329",9
"2330",22
"2331",22
"2332",8
"2333",8
"2334",4
"2335",3
"2336",4
"2337",4
"2338",6
"2339",6
"2340",22
"2341",6
"2342",6
"2343",6
"2344",2
"2345",3
"2346",8
"2347",4
"2348",4
"2349",4
"2350",4
"2351",13
"2352",7
"2353",7
"2354",22
"2355",4
"2356",4
"2357",15
"2358",15
"2359",18
"2360",8
"2361",8
"2362",4
"2363",4
"2364",17
"2365",22
"2366",4
"2367",4
"2368",4
"2369",4
"2370",4
"2371",4
"2372",3
"2373",8
"2374",3
"2375",3
"2376",4
"2377",8
"2378",8
"2379",22
"2380",22
"2381",8
"2382",4
"2383",8
"2384",8
"2385",22
"2386",22
"2387",4
"2388",4
"2389",3
"2390",3
"2391",8
"2392",8
"2393",2
"2394",8
"2395",8
"2396",4
"2397",22
"2398",22
"2399",3
"2400",3
"2401",4
"2402",3
"2403",22
"2404",4
"2405",4
"2406",4
"2407",8
"2408",8
"2409",3
"2410",22
"2411",22
"2412",22
"2413",4
"2414",22
"2415",22
"2416",22
"2417",22
"2418",3
"2419",14
"2420",3
"2421",3
"2422",17
"2423",13
"2424",11
"2425",3
"2426",3
"2427",3
"2428",17
"2429",8
"2430",8
"2431",8
"2432",3
"2433",3
"2434",22
"2435",22
"2436",18
"2437",3
"2438",3
"2439",9
"2440",22
"2441",8
"2442",3
"2443",3
"2444",21
"2445",3
"2446",15
"2447",9
"2448",22
"2449",4
"2450",22
"2451",22
"2452",22
"2453",4
"2454",4
"2455",8
"2456",4
"2457",8
"2458",8
"2459",8
"2460",22
"2461",8
"2462",3
"2463",3
"2464",3
"2465",9
"2466",9
"2467",9
"2468",22
"2469",4
"2470",22
"2471",8
"2472",8
"2473",3
"2474",3
"2475",8
"2476",3
"2477",4
"2478",15
"2479",4
"2480",4
"2481",4
"2482",9
"2483",22
"2484",9
"2485",22
"2486",8
"2487",8
"2488",2
"2489",15
"2490",11
"2491",3
"2492",4
"2493",8
"2494",21
"2495",9
"2496",3
"2497",3
"2498",22
