"","x"
"166","YGR013W"
"167","YFL018C"
"168","YHR005C"
"169","YCL030C"
"170","YER059W"
"171","YBR256C"
"172","YPR051W"
"173","YMR189W"
"174","YOR272W"
"175","YFR004W"
"176","YDL007W"
"177","YDL111C"
"178","YDR301W"
"179","YLR175W"
"180","YKR068C"
"181","YBR055C"
"182","YCL010C"
"183","YHR200W"
"184","YHR069C"
"185","YNL132W"
"186","YAL044C"
"187","YOL058W"
"188","YBL033C"
"189","YBR193C"
"190","YDR158W"
"191","YGR020C"
"192","YOR206W"
"193","YNL061W"
"194","YGR095C"
"195","YGR048W"
"196","YMR290C"
"197","YOR259C"
"198","YBR127C"
"199","YIL116W"
"200","YOR270C"
"201","YHL030W"
"202","YKL067W"
"203","YGR195W"
"204","YGR083C"
"205","YLR347C"
"206","YOR210W"
"207","YPR167C"
"208","YCL017C"
"209","YGL137W"
"210","YJR093C"
"211","YLR170C"
"212","YLR447C"
"213","YDR211W"
"214","YBR216C"
"215","YJL164C"
"216","YNR035C"
"217","YPR108W"
"218","YLR117C"
"219","YGR261C"
"220","YGR091W"
"221","YBL004W"
"222","YDR195W"
"223","YAL016W"
"224","YGR090W"
"225","YBR260C"
"226","YDR240C"
"227","YGL111W"
"228","YER069W"
"229","YJR065C"
"230","YJL138C"
"231","YEL011W"
"232","YNL287W"
"233","YMR125W"
"234","YJR113C"
"235","YNR006W"
"236","YDL126C"
"237","YGL190C"
"238","YPL135W"
"239","YHR216W"
"240","YOL038W"
"241","YER025W"
"242","YOL021C"
"243","YER022W"
"244","YML100W"
"245","YMR261C"
"246","YDR299W"
"247","YDL029W"
"248","YJL109C"
"249","YDL147W"
"250","YDL145C"
"251","YER026C"
"252","YMR314W"
"253","YGR173W"
"254","YDL188C"
"255","YDL031W"
"256","YKR026C"
"257","YGR135W"
"258","YJL088W"
"259","YDR449C"
"260","YMR112C"
"261","YJL074C"
"262","YER082C"
"263","YCR035C"
"264","YPL111W"
"265","YBR079C"
"266","YFR051C"
"267","YOR250C"
"268","YBR208C"
"269","YGR262C"
"270","YKL172W"
"271","YML092C"
"272","YJR007W"
"273","YOR136W"
"274","YKL104C"
"275","YNR003C"
"276","YLR355C"
"277","YDR378C"
"278","YPR110C"
"279","YOR142W"
"280","YCR057C"
"281","YER174C"
"282","YPR104C"
"283","YCR012W"
"284","YBR146W"
"285","YLR025W"
"286","YGL011C"
"287","YKL009W"
"288","YNL330C"
"289","YCR093W"
"290","YER086W"
"291","YKL013C"
"292","YAL029C"
"293","YGR263C"
"294","YBR081C"
"295","YHR203C"
"296","YOR174W"
"297","YLR314C"
"298","YDR324C"
"299","YDL047W"
"300","YGR245C"
"301","YGL009C"
"302","YGL234W"
"303","YER012W"
"304","YIL076W"
"305","YGL195W"
"306","YPL139C"
"307","YDL030W"
"308","YJR076C"
"309","YGL245W"
"310","YHR018C"
"311","YDR342C"
"312","YOR184W"
"313","YOR001W"
"314","YKR060W"
"315","YBR160W"
"316","YBR195C"
"317","YMR239C"
"318","YJR063W"
"319","YBL002W"
"320","YGL068W"
"321","YNL207W"
"322","YPR168W"
"323","YGL120C"
"324","YBR130C"
"325","YKL001C"
"326","YLR129W"
"327","YGL156W"
"328","YPL266W"
"329","YLR432W"
"330","YOR180C"
"331","YBL041W"
"332","YDL014W"
"333","YMR213W"
"334","YBR253W"
"335","YJR042W"
"336","YIL093C"
"337","YKL144C"
"338","YIL078W"
"339","YCR033W"
"340","YDR308C"
"341","YEL054C"
"342","YKL143W"
"343","YPL181W"
"344","YGR186W"
"345","YAL035W"
"346","YNL201C"
"347","YOR056C"
"348","YLR449W"
"349","YEL056W"
"350","YKR069W"
"351","YDR337W"
"352","YDL192W"
"353","YMR199W"
"354","YDR140W"
"355","YOR362C"
"356","YNL333W"
"357","YJL005W"
"358","YNL182C"
"359","YPL211W"
"360","YNL262W"
"361","YPL049C"
"362","YDR385W"
"363","YBR142W"
"364","YDR416W"
"365","YAL021C"
"366","YNL261W"
"367","YKR014C"
"368","YPL204W"
"369","YOR150W"
"370","YML102W"
"371","YER177W"
"372","YMR120C"
"373","YPL256C"
"374","YDR188W"
"375","YNL104C"
"376","YGL022W"
"377","YIL128W"
"378","YER126C"
"379","YER052C"
"380","YGR218W"
"381","YJL042W"
"382","YGL197W"
"383","YGR232W"
"384","YHR166C"
"385","YBR009C"
"386","YDR001C"
"387","YMR308C"
"388","YDR359C"
"389","YGL070C"
"390","YBR010W"
"391","YGR267C"
"392","YJR111C"
"393","YML022W"
"394","YHR033W"
"395","YBR218C"
"396","YDL051W"
"397","YER002W"
"398","YBR060C"
"399","YJR109C"
"400","YER146W"
"401","YLR421C"
"402","YJL001W"
"403","YPR054W"
"404","YOR043W"
"405","YNL124W"
"406","YOR244W"
"407","YOL086C"
"408","YIL079C"
"409","YKR002W"
"410","YPR181C"
"411","YFL038C"
"412","YDR381W"
"413","YPL004C"
"414","YAL003W"
"415","YGR234W"
"416","YOR335C"
"417","YOL090W"
"418","YGL171W"
"419","YOL004W"
"420","YEL002C"
"421","YIL061C"
"422","YDR036C"
"423","YLR438W"
"424","YBL026W"
"425","YJR101W"
"426","YKL056C"
"427","YOR181W"
"428","YPR191W"
"429","YLR002C"
"430","YGL207W"
"431","YOR340C"
"432","YMR012W"
"433","YPL217C"
"434","YCR046C"
"435","YGR240C"
"436","YKL193C"
"437","YCR053W"
"438","YNL290W"
"439","YGR161C"
"440","YDL003W"
"441","YPL195W"
"442","YLR029C"
"443","YER031C"
"444","YJL081C"
"445","YGR155W"
"446","YKL007W"
"447","YMR105C"
"448","YGL241W"
"449","YNL154C"
"450","YNL075W"
"451","YMR116C"
"452","YJL173C"
"453","YGR204W"
"454","YBR254C"
"455","YKR085C"
"456","YPR137W"
"457","YLR352W"
"458","YFL024C"
"459","YDR167W"
"460","YGL099W"
"461","YPL254W"
"462","YPL001W"
"463","YDL134C"
"464","YAL033W"
"465","YHR066W"
"466","YMR128W"
"467","YFR044C"
"468","YJR022W"
"469","YHR170W"
"470","YOR057W"
"471","YDR472W"
"472","YER029C"
"473","YPR023C"
"474","YBL058W"
"475","YBR282W"
"476","YFL002C"
"477","YDR507C"
"478","YMR139W"
"479","YMR108W"
"480","YER093C"
"481","YHR174W"
"482","YER003C"
"483","YKR067W"
"484","YNL236W"
"485","YPR182W"
"486","YOR185C"
"487","YJL080C"
"488","YDR225W"
"489","YGR200C"
"490","YBR272C"
"491","YMR172W"
"492","YCL024W"
"493","YKR006C"
"494","YDR311W"
"495","YPR190C"
"496","YIL033C"
"497","YAR003W"
"498","YLR310C"
"499","YDR300C"
"500","YML091C"
"501","YCL014W"
"502","YDL098C"
"503","YER162C"
"504","YOR204W"
"505","YER155C"
"506","YDR412W"
"507","YMR158W"
"508","YLL011W"
"509","YLR293C"
"510","YPL208W"
"511","YLR127C"
"512","YKL218C"
"513","YBR200W"
"514","YNL085W"
"515","YIL070C"
"516","YAL012W"
"517","YHR196W"
"518","YGR150C"
"519","YOR202W"
"520","YPL074W"
"521","YGL150C"
"522","YML109W"
"523","YOR035C"
"524","YPL013C"
"525","YOR145C"
"526","YBR103W"
"527","YDR427W"
"528","YLL018C"
"529","YBR025C"
"530","YHR114W"
"531","YHR169W"
"532","YIR002C"
"533","YCL009C"
"534","YKL019W"
"535","YOR329C"
"536","YDL132W"
"537","YLR113W"
"538","YDL108W"
"539","YNL138W"
"540","YOL010W"
"541","YAL023C"
"542","YPL086C"
"543","YBR136W"
"544","YGL130W"
"545","YKL099C"
"546","YDL042C"
"547","YMR268C"
"548","YOR106W"
"549","YHR059W"
"550","YER092W"
"551","YHR085W"
"552","YHR086W"
"553","YBR109C"
"554","YKL060C"
"555","YBL039C"
"556","YCL059C"
"557","YOR276W"
"558","YHR119W"
"559","YDL195W"
"560","YEL055C"
"561","YLL034C"
"562","YDR502C"
"563","YIL136W"
"564","YBR143C"
"565","YDR074W"
"566","YNL112W"
"567","YIL063C"
"568","YOR110W"
"569","YLR212C"
"570","YLR229C"
"571","YOL139C"
"572","YDR130C"
"573","YNL189W"
"574","YOL006C"
"575","YNL139C"
"576","YCR020C-A"
"577","YML069W"
"578","YER089C"
"579","YBL003C"
"580","YGL092W"
"581","YML032C"
"582","YOR370C"
"583","YIL126W"
"584","YOR323C"
"585","YDL175C"
"586","YHR030C"
"587","YLR106C"
"588","YNL016W"
"589","YMR229C"
"590","YLR304C"
"591","YHR041C"
"592","YGR270W"
"593","YNL311C"
"594","YBR133C"
"595","YBR017C"
"596","YAR014C"
"597","YHR023W"
"598","YDR049W"
"599","YDR021W"
"600","YLR097C"
"601","YNL312W"
"602","YBL090W"
"603","YDL070W"
"604","YBL007C"
"605","YFL045C"
"606","YLR186W"
"607","YJR104C"
"608","YOR144C"
"609","YNL135C"
"610","YGR040W"
"611","YAR002W"
"612","YPL153C"
"613","YAL025C"
"614","YER008C"
"615","YGL187C"
"616","YMR223W"
"617","YDR480W"
"618","YPR103W"
"619","YGL058W"
"620","YPL009C"
"621","YMR025W"
"622","YNL088W"
"623","YDR071C"
"624","YJR090C"
"625","YMR093W"
"626","YGL008C"
"627","YER127W"
"628","YHR147C"
"629","YIL046W"
"630","YIL068C"
"631","YJR068W"
"632","YGL073W"
"633","YFL044C"
"634","YPL038W"
"635","YNL103W"
"636","YGL254W"
"637","YGL192W"
"638","YDR043C"
"639","YGL071W"
"640","YDR146C"
"641","YDR216W"
"642","YGL013C"
"643","YLR403W"
"644","YBR182C"
"645","YKL112W"
"646","YDR310C"
"647","YNL068C"
"648","YJR060W"
"649","YBR049C"
"650","YNL216W"
"651","YOR028C"
"652","YPL075W"
"653","YMR043W"
"654","YKR099W"
"655","YLR131C"
"656","YDL056W"
"657","YOR372C"
"658","YHR206W"
"659","YKL043W"
"660","YDR259C"
"661","YGL181W"
"662","YHL027W"
"663","YKL032C"
"664","YBL008W"
"665","YER088C"
"666","YMR021C"
"667","YPR065W"
"668","YOR140W"
"669","YEL009C"
"670","YGR044C"
"671","YKL109W"
"672","YDR423C"
"673","YKL185W"
"674","YPL177C"
"675","YMR016C"
"676","YOL116W"
"677","YNL027W"
"678","YMR164C"
"679","YKL038W"
"680","YIL131C"
"681","YOL067C"
"682","YLR013W"
"683","YIR018W"
"684","YPL248C"
"685","YMR182C"
"686","YNL314W"
"687","YOR038C"
"688","YOL108C"
"689","YER169W"
"690","YHR006W"
"691","YLR176C"
"692","YDL106C"
"693","YPL089C"
"694","YIR023W"
"695","YLR451W"
"696","YER111C"
"697","YKL062W"
"698","YLR182W"
"699","YHR084W"
"700","YMR070W"
"701","YML099C"
"702","YOR032C"
"703","YOR358W"
"704","YCR018C"
"705","YNL199C"
"706","YOR077W"
"707","YJL206C"
"708","YJL056C"
"709","YJR127C"
"710","YJL089W"
"711","YDL170W"
"712","YDR463W"
"713","YFR034C"
"714","YDR421W"
"715","YMR042W"
"716","YBL103C"
"717","YCR097W"
"718","YNL309W"
"719","YOL089C"
"720","YER040W"
"721","YML007W"
"722","YOR113W"
"723","YDR277C"
"724","YLR098C"
"725","YDR123C"
"726","YBR240C"
"727","YPL230W"
"728","YKL015W"
"729","YNL167C"
"730","YFL021W"
"731","YGR288W"
"732","YPR178W"
"733","YKL211C"
"734","YKL135C"
"735","YGR092W"
"736","YML010W"
"737","YPR025C"
"738","YDR477W"
"739","YML009C"
"740","YDR098C"
"741","YNL110C"
"742","YDR429C"
"743","YDL043C"
"744","YBR234C"
"745","YPR101W"
"746","YEL015W"
"747","YOL123W"
"748","YGR252W"
"749","YKR028W"
"750","YGL044C"
"751","YJL069C"
"752","YPR055W"
"753","YLR009W"
"754","YDL155W"
"755","YNL244C"
"756","YGR250C"
"757","YIL074C"
"758","YOR157C"
"759","YPL131W"
"760","YDR237W"
"761","YBR031W"
"762","YDR469W"
"763","YJL190C"
"764","YJR137C"
"765","YCR009C"
"766","YDR490C"
"767","YLR060W"
"768","YDR020C"
"769","YNL032W"
"770","YML015C"
"771","YNL306W"
"772","YBR039W"
"773","YGL105W"
"774","YDR148C"
"775","YBL099W"
"776","YOL082W"
"777","YGR193C"
"778","YMR236W"
"779","YDR022C"
"780","YPL235W"
"781","YER070W"
"782","YPL151C"
"783","YIL035C"
"784","YGL062W"
"785","YKR048C"
"786","YLR192C"
"787","YPL231W"
"788","YPL031C"
"789","YKL189W"
"790","YDR176W"
"791","YEL051W"
"792","YKL012W"
"793","YOR212W"
"794","YDR487C"
"795","YEL053C"
"796","YNL317W"
"797","YDR019C"
"798","YOL142W"
"799","YBR170C"
"800","YBR198C"
"801","YML064C"
"802","YPR107C"
"803","YJR145C"
"804","YBR288C"
"805","YER133W"
"806","YGR196C"
"807","YOL140W"
"808","YPR160W"
"809","YDR238C"
"810","YPL178W"
"811","YHL002W"
"812","YLL027W"
"813","YHR058C"
"814","YOR353C"
"815","YPL237W"
"816","YNL169C"
"817","YDR152W"
"818","YBR247C"
"819","YFL008W"
"820","YEL034W"
"821","YKR038C"
"822","YNL037C"
"823","YBR166C"
"824","YJR016C"
"825","YGR104C"
"826","YDR174W"
"827","YDR432W"
"828","YOL135C"
"829","YPR173C"
"830","YGL106W"
"831","YNR010W"
"832","YCR002C"
"833","YGR061C"
"834","YIL094C"
"835","YPR082C"
"836","YHR088W"
"837","YDR343C"
"838","YPR119W"
"839","YPR018W"
"840","YGL233W"
"841","YHR128W"
"842","YGR128C"
"843","YPL010W"
"844","YGL151W"
"845","YJR010W"
"846","YOR014W"
"847","YDR075W"
"848","YDR272W"
"849","YNR052C"
"850","YCL054W"
"851","YLR276C"
"852","YBR267W"
"853","YLR378C"
"854","YDL137W"
"855","YPL220W"
"856","YNR046W"
"857","YFL059W"
"858","YDR364C"
"859","YOR133W"
"860","YBR217W"
"861","YML065W"
"862","YER136W"
"863","YDR099W"
"864","YDR175C"
"865","YCL028W"
"866","YPL227C"
"867","YER171W"
"868","YDL124W"
"869","YHR020W"
"870","YML088W"
"871","YNL248C"
"872","YJL095W"
"873","YLR270W"
"874","YER110C"
"875","YHR099W"
"876","YFL009W"
"877","YGL100W"
"878","YKR024C"
"879","YPL092W"
"880","YMR226C"
"881","YDL066W"
"882","YDL078C"
"883","YKL085W"
"884","YOR217W"
"885","YDR028C"
"886","YDR422C"
"887","YLL022C"
"888","YLL010C"
"889","YOL115W"
"890","YHR098C"
"891","YKL081W"
"892","YLR074C"
"893","YDR097C"
"894","YLR275W"
"895","YDL213C"
"896","YML063W"
"897","YKR059W"
"898","YIL034C"
"899","YHR135C"
"900","YJR002W"
"901","YAR007C"
"902","YBR084W"
"903","YOL005C"
"904","YDR170C"
"905","YJR132W"
"906","YHR062C"
"907","YLR180W"
"908","YHR089C"
"909","YML077W"
"910","YOL051W"
"911","YBR249C"
"912","YOL078W"
"913","YDL182W"
"914","YLR044C"
"915","YGR253C"
"916","YJR074W"
"917","YHR064C"
"918","YJR064W"
"919","YKL028W"
"920","YBR175W"
"921","YBR225W"
"922","YOR158W"
"923","YDR405W"
"924","YDL153C"
"925","YGR075C"
"926","YEL037C"
"927","YDR361C"
"928","YNL172W"
"929","YAL041W"
"930","YLR262C"
"931","YDL002C"
"932","YHR158C"
"933","YER173W"
"934","YHR019C"
"935","YGL060W"
"936","YKL082C"
"937","YLR337C"
"938","YPR112C"
"939","YJR144W"
"940","YDL090C"
"941","YAL036C"
"942","YGL158W"
"943","YGR233C"
"944","YDL095W"
"945","YLR384C"
"946","YDR227W"
"947","YGL212W"
"948","YJL024C"
"949","YOR227W"
"950","YDR179C"
"951","YDR139C"
"952","YKL152C"
"953","YEL022W"
"954","YPL085W"
"955","YJL033W"
"956","YMR028W"
"957","YDL204W"
"958","YLL026W"
"959","YKL095W"
"960","YNL126W"
"961","YLR196W"
"962","YPL161C"
"963","YLR386W"
"964","YOL054W"
"965","YOL070C"
"966","YNL030W"
"967","YGR180C"
"968","YBR264C"
"969","YCR079W"
"970","YFL003C"
"971","YPL140C"
"972","YMR094W"
"973","YIL113W"
"974","YJL187C"
"975","YDL208W"
"976","YNL220W"
"977","YFR011C"
"978","YDR166C"
"979","YLR399C"
"980","YHR016C"
"981","YDR226W"
"982","YBL076C"
"983","YDR023W"
"984","YER107C"
"985","YDL159W"
"986","YJL115W"
"987","YNL023C"
"988","YKL080W"
"989","YPL160W"
"990","YHR051W"
"991","YCR066W"
"992","YDL216C"
"993","YIR034C"
"994","YPL036W"
"995","YLR287C"
"996","YDR156W"
"997","YAL005C"
"998","YAL009W"
"999","YAL010C"
"1000","YAL017W"
"1001","YAL018C"
"1002","YAL022C"
"1003","YAL024C"
"1004","YAL026C"
"1005","YAL028W"
"1006","YAL030W"
"1007","YAL031C"
"1008","YAL034C"
"1009","YAL037W"
"1010","YAL038W"
"1011","YAL040C"
"1012","YAL042W"
"1013","YAL043C"
"1014","YAL043C-A"
"1015","YAL045C"
"1016","YAL053W"
"1017","YAL054C"
"1018","YAL062W"
"1019","YAL063C"
"1020","YAL064C-A"
"1021","YAL064W"
"1022","YAL065C"
"1023","YAL067C"
"1024","YAL068C"
"1025","YAR008W"
"1026","YAR009C"
"1027","YAR018C"
"1028","YAR023C"
"1029","YAR050W"
"1030","YBL001C"
"1031","YBL013W"
"1032","YBL014C"
"1033","YBL016W"
"1034","YBL017C"
"1035","YBL019W"
"1036","YBL022C"
"1037","YBL023C"
"1038","YBL025W"
"1039","YBL027W"
"1040","YBL028C"
"1041","YBL029W"
"1042","YBL030C"
"1043","YBL032W"
"1044","YBL037W"
"1045","YBL042C"
"1046","YBL043W"
"1047","YBL044W"
"1048","YBL057C"
"1049","YBL059C-A"
"1050","YBL072C"
"1051","YBL074C"
"1052","YBL079W"
"1053","YBL080C"
"1054","YBL081W"
"1055","YBL082C"
"1056","YBL083C"
"1057","YBL087C"
"1058","YBL092W"
"1059","YBL093C"
"1060","YBL097W"
"1061","YBL107W-A"
"1062","YBL108W"
"1063","YBL109W"
"1064","YBL111C"
"1065","YBL112C"
"1066","YBL113C"
"1067","YBR002C"
"1068","YBR003W"
"1069","YBR007C"
"1070","YBR008C"
"1071","YBR011C"
"1072","YBR012C"
"1073","YBR013C"
"1074","YBR018C"
"1075","YBR019C"
"1076","YBR020W"
"1077","YBR021W"
"1078","YBR029C"
"1079","YBR030W"
"1080","YBR033W"
"1081","YBR037C"
"1082","YBR038W"
"1083","YBR040W"
"1084","YBR042C"
"1085","YBR043C"
"1086","YBR044C"
"1087","YBR048W"
"1088","YBR051W"
"1089","YBR053C"
"1090","YBR054W"
"1091","YBR057C"
"1092","YBR065C"
"1093","YBR066C"
"1094","YBR068C"
"1095","YBR069C"
"1096","YBR070C"
"1097","YBR071W"
"1098","YBR074W"
"1099","YBR076W"
"1100","YBR077C"
"1101","YBR078W"
"1102","YBR080C"
"1103","YBR082C"
"1104","YBR083W"
"1105","YBR084C-A"
"1106","YBR085W"
"1107","YBR089C-A"
"1108","YBR090C"
"1109","YBR092C"
"1110","YBR095C"
"1111","YBR096W"
"1112","YBR097W"
"1113","YBR099C"
"1114","YBR101C"
"1115","YBR102C"
"1116","YBR104W"
"1117","YBR110W"
"1118","YBR112C"
"1119","YBR114W"
"1120","YBR115C"
"1121","YBR116C"
"1122","YBR117C"
"1123","YBR118W"
"1124","YBR119W"
"1125","YBR138C"
"1126","YBR139W"
"1127","YBR148W"
"1128","YBR156C"
"1129","YBR157C"
"1130","YBR158W"
"1131","YBR159W"
"1132","YBR161W"
"1133","YBR162C"
"1134","YBR162W-A"
"1135","YBR163W"
"1136","YBR167C"
"1137","YBR168W"
"1138","YBR179C"
"1139","YBR180W"
"1140","YBR181C"
"1141","YBR183W"
"1142","YBR188C"
"1143","YBR189W"
"1144","YBR190W"
"1145","YBR191W"
"1146","YBR196C"
"1147","YBR210W"
"1148","YBR211C"
"1149","YBR212W"
"1150","YBR222C"
"1151","YBR224W"
"1152","YBR229C"
"1153","YBR235W"
"1154","YBR236C"
"1155","YBR237W"
"1156","YBR238C"
"1157","YBR243C"
"1158","YBR244W"
"1159","YBR250W"
"1160","YBR255W"
"1161","YBR262C"
"1162","YBR265W"
"1163","YBR266C"
"1164","YBR268W"
"1165","YBR275C"
"1166","YBR281C"
"1167","YBR283C"
"1168","YBR284W"
"1169","YBR295W"
"1170","YCL001W"
"1171","YCL001W-A"
"1172","YCL004W"
"1173","YCL005W"
"1174","YCL011C"
"1175","YCL012W"
"1176","YCL016C"
"1177","YCL018W"
"1178","YCL025C"
"1179","YCL026C-A"
"1180","YCL027W"
"1181","YCL031C"
"1182","YCL034W"
"1183","YCL035C"
"1184","YCL045C"
"1185","YCL046W"
"1186","YCL047C"
"1187","YCL048W"
"1188","YCL049C"
"1189","YCL050C"
"1190","YCL055W"
"1191","YCL056C"
"1192","YCL063W"
"1193","YCL064C"
"1194","YCL065W"
"1195","YCL066W"
"1196","YCL067C"
"1197","YCL074W"
"1198","YCR001W"
"1199","YCR003W"
"1200","YCR017C"
"1201","YCR018C-A"
"1202","YCR019W"
"1203","YCR020W-B"
"1204","YCR021C"
"1205","YCR024C"
"1206","YCR024C-A"
"1207","YCR025C"
"1208","YCR028C"
"1209","YCR032W"
"1210","YCR039C"
"1211","YCR040W"
"1212","YCR041W"
"1213","YCR044C"
"1214","YCR064C"
"1215","YCR065W"
"1216","YCR073C"
"1217","YCR073W-A"
"1218","YCR075C"
"1219","YCR082W"
"1220","YCR089W"
"1221","YCR092C"
"1222","YCR096C"
"1223","YCR098C"
"1224","YCR099C"
"1225","YCR100C"
"1226","YCR102C"
"1227","YCR102W-A"
"1228","YCR105W"
"1229","YCR106W"
"1230","YCR107W"
"1231","YDL010W"
"1232","YDL012C"
"1233","YDL017W"
"1234","YDL018C"
"1235","YDL020C"
"1236","YDL026W"
"1237","YDL028C"
"1238","YDL032W"
"1239","YDL035C"
"1240","YDL037C"
"1241","YDL038C"
"1242","YDL039C"
"1243","YDL044C"
"1244","YDL058W"
"1245","YDL059C"
"1246","YDL061C"
"1247","YDL067C"
"1248","YDL068W"
"1249","YDL071C"
"1250","YDL075W"
"1251","YDL076C"
"1252","YDL082W"
"1253","YDL083C"
"1254","YDL084W"
"1255","YDL101C"
"1256","YDL105W"
"1257","YDL114W"
"1258","YDL115C"
"1259","YDL122W"
"1260","YDL125C"
"1261","YDL127W"
"1262","YDL128W"
"1263","YDL129W"
"1264","YDL130W"
"1265","YDL130W-A"
"1266","YDL133C-A"
"1267","YDL133W"
"1268","YDL141W"
"1269","YDL142C"
"1270","YDL146W"
"1271","YDL148C"
"1272","YDL168W"
"1273","YDL169C"
"1274","YDL171C"
"1275","YDL173W"
"1276","YDL174C"
"1277","YDL178W"
"1278","YDL179W"
"1279","YDL181W"
"1280","YDL184C"
"1281","YDL186W"
"1282","YDL189W"
"1283","YDL190C"
"1284","YDL193W"
"1285","YDL198C"
"1286","YDL206W"
"1287","YDL209C"
"1288","YDL212W"
"1289","YDL214C"
"1290","YDL223C"
"1291","YDL224C"
"1292","YDL226C"
"1293","YDL227C"
"1294","YDL228C"
"1295","YDL229W"
"1296","YDL239C"
"1297","YDL245C"
"1298","YDL246C"
"1299","YDL247W"
"1300","YDR003W"
"1301","YDR008C"
"1302","YDR009W"
"1303","YDR010C"
"1304","YDR011W"
"1305","YDR024W"
"1306","YDR025W"
"1307","YDR027C"
"1308","YDR030C"
"1309","YDR031W"
"1310","YDR033W"
"1311","YDR035W"
"1312","YDR039C"
"1313","YDR042C"
"1314","YDR046C"
"1315","YDR047W"
"1316","YDR048C"
"1317","YDR050C"
"1318","YDR052C"
"1319","YDR054C"
"1320","YDR055W"
"1321","YDR056C"
"1322","YDR057W"
"1323","YDR058C"
"1324","YDR061W"
"1325","YDR064W"
"1326","YDR065W"
"1327","YDR066C"
"1328","YDR077W"
"1329","YDR083W"
"1330","YDR084C"
"1331","YDR086C"
"1332","YDR089W"
"1333","YDR100W"
"1334","YDR102C"
"1335","YDR103W"
"1336","YDR112W"
"1337","YDR113C"
"1338","YDR115W"
"1339","YDR119W"
"1340","YDR129C"
"1341","YDR131C"
"1342","YDR132C"
"1343","YDR133C"
"1344","YDR134C"
"1345","YDR144C"
"1346","YDR145W"
"1347","YDR147W"
"1348","YDR150W"
"1349","YDR151C"
"1350","YDR154C"
"1351","YDR155C"
"1352","YDR157W"
"1353","YDR164C"
"1354","YDR165W"
"1355","YDR171W"
"1356","YDR179W-A"
"1357","YDR180W"
"1358","YDR183W"
"1359","YDR184C"
"1360","YDR186C"
"1361","YDR187C"
"1362","YDR189W"
"1363","YDR194C"
"1364","YDR207C"
"1365","YDR208W"
